Owner,Number of plants,Total crude steel capacity (ttpa),Total iron capacity (ttpa),Average plant age (years),Average LitPop assets within 20 km (USD bn),Plants matched to LitPop,Number of countries,Number of regions,Countries,Latitude,Longitude
Nippon Steel Corp,10,44423.0,42979.0,79.346,160.02701296101327,10,1,1,Japan,35.2976642,135.4098151
POSCO Holdings Inc,2,41757.0,41959.0,46.0,,0,1,1,South Korea,35.464698,128.57157899999999
Angang Steel Co Ltd,3,30250.0,25610.0,22.006666666666664,61.921445372970716,3,1,1,China,40.99523533333333,121.82794233333334
JFE Steel Corp,5,28768.0,29651.0,62.49400000000001,695.100822973434,5,1,1,Japan,35.6587466,137.6000342
JSW Steel Ltd,5,28359.0,29306.0,28.25,3.2215711729148224,5,1,1,India,17.52686306,78.32715882
Tata Steel Ltd,6,26460.0,26040.0,52.6,12.502732628629458,5,2,1,"India, Singapore",19.936931,87.20783933333333
Hyundai Steel Co,4,24297.0,12440.0,46.5,,0,2,2,"South Korea, United States",35.25001025,72.79980524999999
Cleveland-Cliffs Inc,12,23655.0,18360.0,107.33333333333333,,0,2,1,"Canada, United States",41.211778833333334,-82.50965675
Steel Authority of India Ltd,8,21350.0,23176.0,70.68833333333333,19.33675620056748,8,1,1,India,22.683159047542837,85.7173442946815
Baoshan Iron & Steel Co Ltd,1,19800.0,16800.0,49.0,826.77781601877,1,1,1,China,31.41623,121.440087
Nucor Corp,13,17737.0,0.0,36.81818181818182,,0,1,1,United States,37.80359449230769,-90.87709860000001
Maanshan Iron & Steel Co Ltd,1,17340.0,14500.0,73.0,62.07819869751509,1,1,1,China,31.698884,118.468194
Jiangsu Shagang Iron & Steel Co Ltd,1,17305.0,18430.0,23.6,71.73444569790362,1,1,1,China,31.983146,120.638992
Inner Mongolia BaoTou Steel Union Co Ltd,1,16760.0,16990.0,26.64,137.82467707389222,1,1,1,China,40.647997,109.740898
Hunan Valin Lianyuan Iron and Steel Co Ltd,2,16250.0,14701.0,68.0,40.27277771077714,2,1,1,China,27.780956,112.43236
Wuhan Iron and Steel Co Ltd,2,15907.0,14320.0,67.44,594.2072016626408,1,2,1,"China, Indonesia",11.5281545,113.35565
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,1,14500.0,11126.0,94.0,,0,1,1,Russia,53.427593,59.054122
Hoa Phat Dung Quat Steel JSC,1,14499.0,10400.0,9.0,,0,1,1,Vietnam,15.37768,108.793321
Novolipetsk Steel PJSC,1,14400.0,14200.0,92.0,,0,1,1,Russia,52.557372,39.629574
Baosteel Zhanjiang Iron & Steel Co Ltd,1,14328.0,13250.0,15.0,3.7871052616167664,1,1,1,China,21.056035,110.48657
Shougang Jingtang United Iron & Steel Co Ltd,1,13700.0,13500.0,21.0,0.24891228893660095,1,1,1,China,38.953664,118.50339
Bengang Steel Plates Co Ltd,1,13440.0,12841.0,28.65,39.78858125536222,1,1,1,China,41.274132,123.722099
United States Steel Corp,6,13350.0,10535.0,106.0,,0,1,1,United States,39.20824433333333,-88.98969849999999
Steel Dynamics Inc,6,12662.0,260.0,28.333333333333332,,0,1,1,United States,36.856681333333334,-87.13497016666668
Shanxi Taigang Stainless Steel Co Ltd,1,12460.0,8480.0,27.69,337.38459784698966,1,1,1,China,37.931488,112.539321
Severstal PJSC,1,12201.0,11800.0,71.0,,0,1,1,Russia,59.143998,37.86295
Rizhao Steel Holding Group Co Ltd,1,11300.0,10200.0,22.77,7.2757828296152995,1,1,1,China,35.16535,119.366672
Xinyu Iron & Steel Corp Ltd,1,11001.0,9000.0,68.0,15.116119738656865,1,1,1,China,27.786859,114.921595
Government of North Korea,4,10252.0,5249.0,88.5,,0,1,1,North Korea,40.300073,127.68613049999999
Hebei Donghai SPECIAL Steel Group Co Ltd,1,10001.0,7253.0,17.0,21.133834225873116,1,1,1,China,39.610605,118.474722
China Steel Corp,1,10000.0,11020.0,55.0,,0,1,1,Taiwan,22.555442,120.349252
Nanjing Iron & Steel Co Ltd,1,10000.0,8600.0,68.0,482.78803317107094,1,1,1,China,32.200797,118.746315
Hebei Yanshan Iron and Steel Group Co Ltd,1,9990.0,10000.0,24.0,23.402932382220673,1,1,1,China,39.925508,118.672757
Guangxi Shenglong Metallurgical Co Ltd,1,9783.0,10310.0,23.0,2.8547247297683813,1,1,1,China,21.687637,108.412344
ArcelorMittal SA,6,9600.0,7000.0,66.878,2.8439064121632844,1,5,4,"Belgium, India, Luxembourg, Morocco, United States",37.727837666666666,-2.211430166666664
ArcelorMittal Nippon Steel India Ltd,5,9600.0,11570.0,31.0,5.363869825746351,5,1,1,India,19.9366314,81.6597356
Jindal Steel Limited Ltd,5,9600.0,10420.0,25.0,4.08505279185202,5,1,1,India,20.9652604,84.242291
Liuzhou IRON&STEEL Co Ltd,1,9458.0,8930.0,26.0,101.40599440835932,1,1,1,China,24.385304,109.37963
Thyssenkrupp Steel Europe AG,1,9000.0,11400.0,135.0,,0,1,1,Germany,51.491649,6.733051
Evraz ZSMK JSC,1,8760.0,5030.0,94.0,,0,1,1,Russia,53.88618,87.257618
SGIS Songshan Co Ltd,1,8698.0,6500.0,29.0,27.094970679550762,1,1,1,China,24.708232,113.635898
Shandong IRON&STEEL Group Rizhao Co Ltd,1,8500.0,8100.0,17.0,7.299327572531425,1,1,1,China,35.188969,119.383723
Guangxi Iron and Steel Group Co Ltd,1,8400.0,8880.0,6.0,1.6286048372605655,1,1,1,China,21.580723,108.400896
Chongqing Iron & Steel Co Ltd,1,8400.0,9735.0,29.0,9.498498839323997,1,1,1,China,29.790253,107.040368
Beijing Shougang Co Ltd,1,8300.0,7850.0,24.0,18.722035343862142,1,1,1,China,39.976702,118.558788
ArcelorMittal Brasil SA,6,8246.0,4592.0,53.0,,0,1,1,Brazil,-18.793761,-43.635383
Lianfeng Steel (Zhangjiagang) Co Ltd,1,8240.0,5991.0,23.65,95.88643595621154,1,1,1,China,31.855205,120.730505
Chengde Street Ltd,1,8000.0,8106.0,72.0,7.714081987988085,1,1,1,China,40.947707,117.719747
Acciaierie d'italia SpA,1,7800.0,4000.0,61.0,,0,1,1,Italy,40.508993,17.207589
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,1,7700.0,7900.0,7.0,4.65438955677993,1,1,1,China,39.222566,118.094201
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,1,7650.0,5560.0,27.0,13.58456940133008,1,1,1,China,39.812121,98.295555
Shanghai Meishan Iron & Steel Co Ltd,1,7600.0,7300.0,57.0,199.86623311787744,1,1,1,China,31.902969,118.61667
Tata Steel Ijmuiden BV,1,7500.0,6500.0,108.0,,0,1,1,Netherlands,52.484118,4.615584
Formosa Ha Tinh Steel Corp,1,7500.0,7250.0,18.0,,0,1,1,Vietnam,18.036333,106.428271
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,1,7500.0,7100.0,20.0,5.40813344460381,1,1,1,China,38.289221,117.814367
ArcelorMittal Tubarão Comercial SA,1,7500.0,7280.0,43.0,,0,1,1,Brazil,-20.253447,-40.242298
HBIS Laoting Steel Co Ltd,1,7450.0,7320.0,6.0,3.968478459784607,1,1,1,China,39.257823,119.033567
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,1,7300.0,7263.0,30.34,94.62030026999606,1,1,1,China,43.852147,87.304639
Rashtriya Ispat Nigam Ltd,1,7300.0,7500.0,37.0,25.484430600126018,1,1,1,India,17.612846,83.191918
Shaanxi LONG MEN IRON&STEEL Co Ltd,1,7200.0,7345.0,18.66,10.735059257628905,1,1,1,China,35.618466,110.575788
Hebei Anfeng Iron & Steel Co Ltd,1,7100.0,5772.0,24.0,8.280535657885576,1,1,1,China,39.65849,118.894804
Qian'an City Jiujiang Wire Co Ltd,1,7079.0,8540.0,24.0,21.24507346727372,1,1,1,China,39.952209,118.559444
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,1,7042.0,6760.0,12.09,18.820196562136374,1,1,1,China,24.465884,102.543682
Dexin Steel Pte Ltd,1,7000.0,4560.0,6.0,,0,1,1,Indonesia,-2.829514,122.174896
Sansteel Minguang Co Ltd Fujian,1,6799.0,4853.0,25.0,7.086853563183044,1,1,1,China,26.261109,117.614709
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,1,6797.0,5760.0,33.0,90.78538592924683,1,1,1,China,31.950191,120.328449
ArcelorMittal Atlantique et Lorraine SAS,2,6750.0,5400.0,87.5,,0,1,1,France,50.186498,4.2180275
Tianjin Iron and Steel Group Co Ltd,1,6650.0,5500.0,91.0,284.75644354276596,1,1,1,China,39.031083,117.499246
