GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Subnational unit,Latitude,Longitude,Coordinate accuracy,Plant status,Number of units,Plant age (years),Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Main production equipment,Workforce size,GEM wiki page
P100000120882,Aba Iron and Steel Payas plant,ABA Çelik Demir LŞ,ABA Çelik Demir LŞ [100.0%],Türkiye,Europe,Hatay,36.747413,36.21733,exact,operating,1,43.0,1100.0,0.0,,,,,EAF,900,https://www.gem.wiki/Aba_Iron_and_Steel_Payas_plant
P100000120753,Abba Steel Ohangwena steel plant,Abba Steel Ltd,Abba Steel Ltd [100.0%],Namibia,Africa,Ohangwena,-17.397866,15.891022,approximate,construction,1,1.0,0.0,0.0,,,,,EAF,5500,https://www.gem.wiki/Abba_Steel_Ohangwena_steel_plant
P100000120802,Abinsk Electric Steel Works,Abinski Elektrometallurgicheski Zavod LLC,Novostal-M LLC [100.0%],Russia,Eurasia,Krasnodar,44.881938,38.12751,exact,operating,1,12.0,1600.0,0.0,,,,,EAF,4500,https://www.gem.wiki/Abinsk_Electric_Steel_Works
P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,Abul Khair Ltd,Bangladesh,Asia Pacific,Chittagong,22.472008,91.734827,exact,operating,1,11.0,1400.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Abul_Khair_Steel_Sitakunda_plant
P100000120620,Acciaierie d'Italia Taranto steel plant,Acciaierie d'italia SpA,Acciaierie d'italia SpA [100.0%],Italy,Europe,Province of Taranto,40.508993,17.207589,exact,operating pre-retirement,4,61.0,7800.0,4000.0,,,,,DRI; EAF; BF; BOF,11000,https://www.gem.wiki/Acciaierie_d'Italia_Taranto_steel_plant
P100000120634,Acciaierie Venete Borgo Valsugana steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,Province of Trentino-Alto Adige,46.049182,11.440394,exact,operating,1,47.0,600.0,0.0,,,,,EAF,115,https://www.gem.wiki/Acciaierie_Venete_Borgo_Valsugana_steel_plant
P100000120636,Acciaierie Venete Padua steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,Province of Podova,45.419168,11.906625,exact,operating,2,35.0,600.0,0.0,,,,,EAF,601,https://www.gem.wiki/Acciaierie_Venete_Padua_steel_plant
P100000120635,Acciaierie Venete Sarezzo steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,Province of Brescia,45.648691,10.209114,exact,operating,1,59.0,540.0,0.0,,,,,EAF,139,https://www.gem.wiki/Acciaierie_Venete_Sarezzo_steel_plant
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,Sa Machado Lda,Angola,Africa,Bengo,-8.5824,13.405271,exact,operating,1,11.0,500.0,0.0,,,,,IF,600,https://www.gem.wiki/Aceria_Angola_Bengo_steel_plant
P100000121029,Acerinox Columbus Stainless steel plant,Columbus Stainless (Pty) Ltd,Acerinox SA [76.0%]; Industrial Development Corporation of South Africa Ltd [24.0%],South Africa,Africa,Mpumalanga,-25.796313,29.497972,exact,operating,1,60.0,850.0,0.0,,,,,EAF,1319,https://www.gem.wiki/Acerinox_Columbus_Stainless_steel_plant
