GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Subnational unit,Latitude,Longitude,Coordinate accuracy,Plant status,Number of units,Plant age (years),Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Main production equipment,Workforce size,GEM wiki page,LitPop nearest cell value (USD),LitPop assets within 20 km (USD bn),Distance to LitPop cell (km),LitPop country
P100000120882,Aba Iron and Steel Payas plant,ABA Çelik Demir LŞ,ABA Çelik Demir LŞ [100.0%],Türkiye,Europe,Hatay,36.747413,36.21733,exact,operating,1,43.0,1100.0,0.0,,,,,EAF,900,https://www.gem.wiki/Aba_Iron_and_Steel_Payas_plant,,,3265.769650048151,
P100000120753,Abba Steel Ohangwena steel plant,Abba Steel Ltd,Abba Steel Ltd [100.0%],Namibia,Africa,Ohangwena,-17.397866,15.891022,approximate,construction,1,1.0,0.0,0.0,,,,,EAF,5500,https://www.gem.wiki/Abba_Steel_Ohangwena_steel_plant,,,7266.295666379319,
P100000120802,Abinsk Electric Steel Works,Abinski Elektrometallurgicheski Zavod LLC,Novostal-M LLC [100.0%],Russia,Eurasia,Krasnodar,44.881938,38.12751,exact,operating,1,12.0,1600.0,0.0,,,,,EAF,4500,https://www.gem.wiki/Abinsk_Electric_Steel_Works,,,2966.743029470439,
P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,Abul Khair Ltd,Bangladesh,Asia Pacific,Chittagong,22.472008,91.734827,exact,operating,1,11.0,1400.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Abul_Khair_Steel_Sitakunda_plant,,,63.401381390880545,
P100000120620,Acciaierie d'Italia Taranto steel plant,Acciaierie d'italia SpA,Acciaierie d'italia SpA [100.0%],Italy,Europe,Province of Taranto,40.508993,17.207589,exact,operating pre-retirement,4,61.0,7800.0,4000.0,,,,,DRI; EAF; BF; BOF,11000,https://www.gem.wiki/Acciaierie_d'Italia_Taranto_steel_plant,,,4729.998652525923,
P100000120634,Acciaierie Venete Borgo Valsugana steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,Province of Trentino-Alto Adige,46.049182,11.440394,exact,operating,1,47.0,600.0,0.0,,,,,EAF,115,https://www.gem.wiki/Acciaierie_Venete_Borgo_Valsugana_steel_plant,,,4996.957727180255,
P100000120636,Acciaierie Venete Padua steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,Province of Podova,45.419168,11.906625,exact,operating,2,35.0,600.0,0.0,,,,,EAF,601,https://www.gem.wiki/Acciaierie_Venete_Padua_steel_plant,,,4981.316815837246,
P100000120635,Acciaierie Venete Sarezzo steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,Province of Brescia,45.648691,10.209114,exact,operating,1,59.0,540.0,0.0,,,,,EAF,139,https://www.gem.wiki/Acciaierie_Venete_Sarezzo_steel_plant,,,5100.962809777583,
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,Sa Machado Lda,Angola,Africa,Bengo,-8.5824,13.405271,exact,operating,1,11.0,500.0,0.0,,,,,IF,600,https://www.gem.wiki/Aceria_Angola_Bengo_steel_plant,,,6945.2718776403335,
P100000121029,Acerinox Columbus Stainless steel plant,Columbus Stainless (Pty) Ltd,Acerinox SA [76.0%]; Industrial Development Corporation of South Africa Ltd [24.0%],South Africa,Africa,Mpumalanga,-25.796313,29.497972,exact,operating,1,60.0,850.0,0.0,,,,,EAF,1319,https://www.gem.wiki/Acerinox_Columbus_Stainless_steel_plant,,,6386.220223530925,
P100000120454,Acerinox Europa Los Barrios steel plant,Acerinox Europa SAU,Acerinox SA [100.0%],Spain,Europe,Cádiz,36.181686,-5.426626,exact,operating,1,56.0,1200.0,0.0,,,,,EAF,1746,https://www.gem.wiki/Acerinox_Europa_Los_Barrios_steel_plant,,,6722.285060897012,
P100000120768,Aceros Arequipa Pisco steel plant,Corporacion Aceros Arequipa SA,Corporacion Aceros Arequipa SA [100.0%],Peru,Central & South America,Ica,-13.788622,-76.168173,exact,operating,2,39.0,1250.0,0.0,,,,,EAF; DRI,730,https://www.gem.wiki/Aceros_Arequipa_Pisco_steel_plant,,,14836.208875779099,
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,Action Ispat and Power Pvt Ltd [100.0%],India,Asia Pacific,Odisha,21.839759,83.982227,exact,operating,2,,375.0,220.0,,,,,DRI; IF; Steel other/unspecified,unknown,https://www.gem.wiki/Action_Ispat_and_Power_Jharsuguda_steel_plant,645075019.3542067,5.805877880269985,4.629909798368542,India
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,natural person(s) [36.1%]; small shareholder(s) [28.8%]; Mahanada Suppliers Pvt Ltd [22.6%]; Sunrwoth Stocks Pvt Ltd [12.5%],India,Asia Pacific,Odisha,22.308371,84.763584,exact,operating,1,22.81,500.0,330.0,,,,,BF; DRI; EAF,1500,https://www.gem.wiki/Adhunik_Metaliks_Kuanrmunda_steel_plant,721177173.7528095,8.84356135319053,3.4346769031056885,India
P100000120757,African Natural Resources and Mines Kaduna steel plant,African Natural Resources & Mines Ltd,African Industries Ltd,Nigeria,Africa,Kaduna State,9.462715,7.368,exact,operating,2,1.45,0.0,1000.0,,,,5400.0,DRI; Steel other/unspecified,3500,https://www.gem.wiki/African_Natural_Resources_and_Mines_Kaduna_steel_plant,,,6625.848622757787,
P100000120624,AFV Accaierie Beltrame Vicenza steel plant,AFV Acciaierie Beltrame SpA,Beltrame Holding SpA [91.9%]; unknown [8.1%],Italy,Europe,Province of Vicenza,45.522097,11.499295,exact,operating,1,50.0,1200.0,0.0,,,,,EAF,419,https://www.gem.wiki/AFV_Accaierie_Beltrame_Vicenza_steel_plant,,,5008.654869673477,
P100000121240,AFV Donalam Targoviste steel plant,Donalam SRL,Beltrame Holding SpA [86.1%]; unknown [7.6%],Romania,Europe,Județul Dâmbovița,44.904569,25.458124,exact,operating pre-retirement,2,53.0,300.0,0.0,,,,,EAF,730,https://www.gem.wiki/AFV_Donalam_Targoviste_steel_plant,,,3958.4556522774237,
P100000120423,AG der Dillinger Hüttenwerke Dillingen steel plant,AG der Dillinger Hüttenwerke AG,Montan-Stiftung-Saar [50.9%]; ArcelorMittal SA [29.8%]; unknown [8.7%],Germany,Europe,Saarland,49.353884,6.746603,exact,operating pre-retirement,4,57.0,2760.0,4782.0,,,,,DRI; EAF; BF; BOF,3600,https://www.gem.wiki/AG_der_Dillinger_Hüttenwerke_Dillingen_steel_plant,,,5237.631096620485,
P100000120494,AG Sidegua Masagua steel plant,Corporación AG SA,Fundacion Jose Luis Gabriel; Industrial Assets Fund LP,Guatemala,Central & South America,Escuintla,14.232007,-90.815444,exact,operating,1,32.0,500.0,0.0,,,,,EAF,1080,https://www.gem.wiki/AG_Sidegua_Masagua_steel_plant,,,11389.568804841449,
P100000120782,Agha Steel Industries Karachi plant,Agha Steel Industries Ltd,Agha Steel Industries Ltd [100.0%],Pakistan,Asia Pacific,Sindh,24.841851,67.310159,exact,operating,2,14.14,450.0,0.0,,,,,EAF; BF,unknown,https://www.gem.wiki/Agha_Steel_Industries_Karachi_plant,,,140.8387944779394,
P100000121224,Ahya Steel Folad Baft Company DRI plant,Ahya Steel Folad Baft Co,Bank of Industry and Mine (Iran); Tourism Financial Group,Iran,Middle East,Kerman,29.289109,56.490707,exact,operating,1,7.0,0.0,1600.0,,,,,DRI,700,https://www.gem.wiki/Ahya_Steel_Folad_Baft_Company_DRI_plant,,,1300.5577491637514,
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Aichi Steel Corp [100.0%],Japan,Asia Pacific,Chūbu,35.044558,136.900772,exact,operating,1,83.0,1495.0,0.0,,,,,EAF,965,https://www.gem.wiki/Aichi_Steel_Chita_plant_(Tokai),110186877555.41345,1237.334301589118,5.2500946996512186,Japan
P100000120756,Ajaokuta Steel plant,Ajaokuta Steel Co Ltd,Ajaokuta Steel Co Ltd [100.0%],Nigeria,Africa,Kogi State,7.511336,6.689364,exact,construction,1,,0.0,0.0,,2610.0,880.0,,BF; BOF,10000,https://www.gem.wiki/Ajaokuta_Steel_plant,,,6777.581314893949,
